series_id,provider,provider_code,country,frequency,group,label,unit,publication_delay_days,need_sa,transform,active,notes,concept
cem,bcrp,PD37967GM,PE,M,High-frequency activity,Domestic cement consumption,YoY %,51.0,0.0,none,1.0,,
circ,bcrp,PN00495MM,PE,M,Credit and liquidity,Circulating currency,Millions of Soles,40.0,0.0,mom,1.0,,
credcons,bcrp,PN00533MM,PE,M,Credit and liquidity,Consumption credit,Millions of Soles,22.0,0.0,mom,0.0,,
credhip,bcrp,PN00534MM,PE,M,Credit and liquidity,Mortgage credit,Millions of Soles,22.0,0.0,mom,0.0,,
credme,bcrp,PN00499MM,PE,M,Credit and liquidity,Private credit in foreign currency,Millions of Dollars,22.0,0.0,mom,1.0,,
credmn,bcrp,PN00496MM,PE,M,Credit and liquidity,Private credit in local currency,Millions of Soles,22.0,0.0,mom,1.0,,
elec,bcrp,PD37966AM,PE,M,High-frequency activity,Electricity production,GWH,51.0,1.0,mom_ann,1.0,,
embig_lac,bcrp,PN01137XM,PE,M,Prices and financial conditions,EMBIG Latin America,Basis points,3.0,0.0,none,1.0,,
embig_per,bcrp,PN01129XM,PE,M,Prices and financial conditions,EMBIG Peru,Basis points,3.0,0.0,none,1.0,,
emiprim,bcrp,PN00489MM,PE,M,Credit and liquidity,Primary issuance,Millions of Soles,10.0,0.0,mom_ann,1.0,,
exp_act,bcrp,PD38044AM,PE,M,Business surveys,Current business conditions,Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_eco12m,bcrp,PD37981AM,PE,M,Business surveys,"Economy expectations, 12 months",Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_eco3m,bcrp,PD38045AM,PE,M,Business surveys,"Economy expectations, 3 months",Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_nt,bcrp,PN38716BM,PE,M,External trade,Non-traditional exports,USD millions,40.0,1.0,mom_ann,1.0,Consider seasonal/calendar effects.,
exp_ord,bcrp,PD38043AM,PE,M,Business surveys,Purchase orders index,Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_pbi12m,bcrp,PD38048AM,PE,M,Business surveys,"GDP expectations, 12 months",YoY %,7.0,0.0,none,1.0,Confirm whether the published series is a level expectation or an index.,
exp_sec12m,bcrp,PD39752AM,PE,M,Business surveys,"Sector expectations, 12 months",Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_sec3m,bcrp,PD38046AM,PE,M,Business surveys,"Sector expectations, 3 months",Diffusion index,7.0,0.0,none,1.0,Standardize,
exp_t,bcrp,PN38715BM,PE,M,External trade,Traditional exports,USD millions,40.0,1.0,mom_ann,1.0,Consider seasonal/calendar effects.,
exp_ven,bcrp,PD38041AM,PE,M,Business surveys,Sales index,Diffusion index,7.0,0.0,none,1.0,Standardize,
fis_fbk,bcrp,PN38635FM,PE,M,Fiscal sector,Gross Fixed Capital Formation,"Thousands of Soles, Constant Prices",17.0,1.0,yoy,1.0,,
fis_rp,bcrp,PN38656FM,PE,M,Fiscal sector,Primary Balance,"Thousands of Soles, Constant Prices",17.0,1.0,yoy,1.0,,
