reference_period,value_level
2016-01,12718
2016-02,11981
2016-03,13466
2016-04,13704
2016-05,12904
2016-06,12354
2016-07,11137
2016-08,12495
2016-09,13485
2016-10,12906
2016-11,13012
2016-12,13714
2017-01,14498
2017-02,13114
2017-03,14449
2017-04,11485
2017-05,14470
2017-06,13117
2017-07,12245
2017-08,15411
2017-09,13340
2017-10,12762
2017-11,14134
2017-12,14643
2018-01,13435
2018-02,12709
2018-03,12813
2018-04,14950
2018-05,14873
2018-06,11906
2018-07,11254
2018-08,11804
2018-09,11216
2018-10,11708
2018-11,11506
2018-12,10236
2019-01,14114
2019-02,12692
2019-03,11899
2019-04,12075
2019-05,13306
2019-06,10889
2019-07,11832
2019-08,12378
2019-09,13445
2019-10,12770
2019-11,12200
2019-12,14397
2020-01,14420
2020-02,12753
2020-03,7084
2020-04,0
2020-05,348
2020-06,4853
2020-07,9573
2020-08,10766
2020-09,12667
2020-10,13659
2020-11,13447
2020-12,12611
2021-01,12563
2021-02,10004
2021-03,13150
2021-04,11695
2021-05,12525
2021-06,12342
2021-07,10734
2021-08,13455
2021-09,15186
2021-10,14931
2021-11,15879
2021-12,14636
2022-01,14245
2022-02,12401
2022-03,14345
2022-04,11913
2022-05,14356
2022-06,12841
2022-07,12071
2022-08,12991
2022-09,14863
2022-10,13040
2022-11,14088
2022-12,12660
2023-01,15660
2023-02,13326
2023-03,16629
2023-04,12324
2023-05,15118
2023-06,13706
2023-07,13316
2023-08,14609
2023-09,13202
2023-10,12644
2023-11,12322
2023-12,11629
2024-01,14154
2024-02,13935
2024-03,11589
2024-04,12953
2024-05,12053
2024-06,10837
2024-07,11063
2024-08,12775
2024-09,13618
2024-10,13120
2024-11,12753
2024-12,12212
2025-01,16629
2025-02,13777
2025-03,14831
2025-04,14408
2025-05,14429
2025-06,14709
2025-07,14906
2025-08,16185
2025-09,15520
2025-10,16632
2025-11,16831
2025-12,18124
2026-01,20628
2026-02,20956
2026-03,20510
2026-04,19799
2026-05,20561
